## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --SORTING_COLLECTION_SIZE_RATIO 0.8 --INPUT /tmp/itamburi/36400634/n84_sorted.bam --OUTPUT /tmp/itamburi/36400634/n84_dd.bam --METRICS_FILE /tmp/itamburi/36400634/n84_mrkdp_met.txt --REMOVE_DUPLICATES true --ASSUME_SORTED true --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 0 --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 11 10:51:43 PDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	20866672	1700140	0	0	11953029	1324414	0.572829	10583726

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
234.0	0	15	0	15
235.0	0	13	0	16
236.0	0	10	0	11
237.0	0	12	0	10
238.0	0	18	0	12
239.0	0	12	0	10
240.0	0	19	0	10
241.0	0	23	0	14
242.0	0	15	0	13
243.0	0	13	0	13
244.0	0	9	0	10
245.0	0	13	0	6
246.0	0	12	0	10
247.0	0	7	0	9
248.0	0	12	0	4
249.0	0	13	0	9
250.0	0	9	0	2
251.0	0	8	0	8
252.0	0	12	0	10
253.0	0	18	0	11
254.0	0	12	0	8
255.0	0	8	1	8
256.0	0	8	0	12
257.0	0	14	0	13
258.0	0	6	0	9
259.0	0	6	0	11
260.0	0	10	0	13
261.0	0	8	0	4
262.0	0	10	0	10
263.0	0	11	0	7
264.0	0	13	0	9
265.0	0	8	0	9
266.0	0	5	0	7
267.0	0	17	0	3
268.0	0	13	0	6
269.0	0	8	0	6
270.0	0	12	0	12
271.0	0	9	0	6
272.0	0	9	0	13
273.0	0	6	0	9
274.0	0	11	0	9
275.0	0	14	0	10
276.0	0	6	0	11
277.0	0	9	0	1
278.0	0	3	0	8
279.0	0	10	0	4
280.0	0	6	0	3
281.0	0	6	0	8
282.0	0	10	0	11
283.0	0	2	0	10
284.0	0	6	0	7
285.0	0	9	0	8
286.0	0	9	0	6
287.0	0	11	0	3
288.0	0	6	0	12
289.0	0	5	0	5
290.0	0	3	0	11
291.0	0	6	0	8
292.0	0	11	0	6
293.0	0	8	0	5
294.0	0	12	0	10
295.0	0	5	0	7
296.0	0	8	0	6
297.0	0	3	0	3
298.0	0	4	0	11
299.0	0	6	0	8
300.0	0	8	0	5
301.0	0	4	0	6
302.0	0	8	0	2
303.0	0	10	0	10
304.0	0	9	0	5
305.0	0	7	0	3
306.0	0	7	0	3
307.0	0	6	0	2
308.0	0	5	0	3
309.0	0	7	0	6
310.0	0	9	0	5
311.0	0	8	0	7
312.0	0	8	0	6
313.0	0	7	0	3
314.0	0	6	0	10
315.0	0	8	0	7
316.0	0	4	0	4
317.0	0	9	0	4
318.0	0	3	0	5
319.0	0	4	0	7
320.0	0	8	0	5
321.0	0	4	0	10
322.0	0	9	0	5
323.0	0	4	0	8
324.0	0	3	0	6
325.0	0	6	0	5
326.0	0	13	0	4
327.0	0	4	0	8
328.0	0	3	0	2
329.0	0	8	0	1
330.0	0	9	0	2
331.0	0	4	0	4
332.0	0	0	0	5
333.0	0	3	0	6
334.0	0	7	0	7
335.0	0	6	0	4
336.0	0	6	0	4
337.0	0	5	0	7
338.0	0	5	0	6
339.0	0	7	0	6
340.0	0	0	0	2
341.0	0	8	0	3
342.0	0	8	0	5
343.0	0	2	0	7
344.0	0	6	0	3
345.0	0	3	0	6
346.0	0	6	0	1
347.0	0	2	0	4
348.0	0	4	0	5
349.0	0	6	0	2
350.0	0	8	0	5
351.0	0	1	0	3
352.0	0	4	0	7
353.0	0	4	0	3
354.0	0	7	1	9
355.0	0	3	0	5
356.0	0	4	0	5
357.0	0	8	0	4
358.0	0	2	0	3
359.0	0	5	0	3
360.0	0	2	0	2
361.0	0	4	0	2
362.0	0	3	0	4
363.0	0	8	0	11
364.0	0	3	0	4
365.0	0	3	0	5
366.0	0	7	0	7
367.0	0	1	0	2
368.0	0	3	0	5
369.0	0	6	0	4
370.0	0	3	0	0
371.0	0	4	0	3
372.0	0	4	0	6
373.0	0	1	0	5
374.0	0	4	0	5
375.0	0	5	0	2
376.0	0	6	0	2
377.0	0	3	0	2
